,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,under,over,over_under_tie_credit,under_result,over_result,to_spread,usd,cred,result,away_dogs_,away_dogs
88,10/24/1999,1999,7,OAK,NYJ,OAK,-6.5,37.0,,59.0,10.0,73.0,24.0,23.0,False,False,47.0,10.0,10.0,-5.5,10/24/1999,10/24/1999,6,39.0,35.0,100,-150,0,0,-50,-110,100,0,-110,100,-5.5,100,0,100,-110,-110
89,10/24/1999,1999,7,SEA,BUF,SEA,-2.5,38.0,DOME,72.0,0.0,,26.0,16.0,False,False,42.0,4.0,4.0,7.5,10/24/1999,10/24/1999,6,40.0,36.0,100,-150,0,0,-50,-110,100,0,-110,100,7.5,-110,0,-110,100,100
90,10/24/1999,1999,7,TB,CHI,TB,-8.0,36.5,,62.0,10.0,51.0,6.0,3.0,False,False,9.0,-27.5,27.5,-5.0,10/24/1999,10/24/1999,6,38.5,34.5,-150,100,0,0,-50,100,-110,0,100,-110,-5.0,100,0,100,-110,-110
91,10/25/1999,1999,7,PIT,ATL,PIT,-5.5,37.0,,41.0,9.0,67.0,13.0,9.0,False,False,22.0,-15.0,15.0,-1.5,10/25/1999,10/25/1999,0,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-1.5,100,0,100,-110,-110
93,10/31/1999,1999,8,ATL,CAR,ATL,-2.0,40.0,DOME,72.0,0.0,,27.0,20.0,False,False,47.0,7.0,7.0,5.0,10/31/1999,10/31/1999,6,42.0,38.0,100,-150,0,0,-50,-110,100,0,-110,100,5.0,-110,0,-110,100,100
98,10/31/1999,1999,8,IND,DAL,IND,-3.0,46.0,DOME,72.0,0.0,,34.0,24.0,False,False,58.0,12.0,12.0,7.0,10/31/1999,10/31/1999,6,48.0,44.0,100,-150,0,0,-50,-110,100,0,-110,100,7.0,-110,0,-110,100,100
99,10/31/1999,1999,8,KC,,KC,-6.0,35.0,,58.0,9.0,74.0,34.0,0.0,False,False,34.0,-1.0,1.0,28.0,10/31/1999,10/31/1999,6,37.0,33.0,100,100,0,0,200,100,-110,0,100,-110,28.0,-110,0,-110,100,100
100,10/31/1999,1999,8,NO,CLE,NO,-9.5,33.5,DOME,72.0,0.0,,16.0,21.0,False,False,37.0,3.5,3.5,-4.5,10/31/1999,10/31/1999,6,35.5,31.5,100,-150,0,0,-50,-110,100,0,-110,100,-14.5,100,0,100,-110,-110
101,10/31/1999,1999,9,OAK,MIA,OAK,-3.0,37.0,,64.0,8.0,62.0,9.0,16.0,False,False,25.0,-12.0,12.0,4.0,10/31/1999,10/31/1999,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,-10.0,100,0,100,-110,-110
104,10/31/1999,1999,8,WAS,CHI,WAS,-8.5,44.0,,61.0,6.0,85.0,48.0,22.0,False,False,70.0,26.0,26.0,17.5,10/31/1999,10/31/1999,6,46.0,42.0,100,-150,0,0,-50,-110,100,0,-110,100,17.5,-110,0,-110,100,100
105,11/1/1999,1999,9,GB,SEA,GB,-5.5,42.5,,52.0,16.0,62.0,7.0,27.0,False,False,34.0,-8.5,8.5,14.5,11/1/1999,11/1/1999,0,44.5,40.5,-150,100,0,0,-50,100,-110,0,100,-110,-25.5,100,0,100,-110,-110
107,11/7/1999,1999,10,CAR,PHI,CAR,-5.0,36.0,,59.0,5.0,68.0,33.0,7.0,False,False,40.0,4.0,4.0,21.0,11/7/1999,11/7/1999,6,38.0,34.0,100,-150,0,0,-50,-110,100,0,-110,100,21.0,-110,0,-110,100,100
110,11/7/1999,1999,10,GB,CHI,GB,-9.0,40.5,,37.0,6.0,48.0,13.0,14.0,False,False,27.0,-13.5,13.5,-8.0,11/7/1999,11/7/1999,6,42.5,38.5,-150,100,0,0,-50,100,-110,0,100,-110,-10.0,100,0,100,-110,-110
111,11/7/1999,1999,10,IND,KC,IND,-4.0,45.0,DOME,72.0,0.0,,25.0,17.0,False,False,42.0,-3.0,3.0,4.0,11/7/1999,11/7/1999,6,47.0,43.0,-150,100,0,0,-50,100,-110,0,100,-110,4.0,-110,0,-110,100,100
112,11/7/1999,1999,10,MIA,TEN,MIA,-3.0,37.0,,76.0,14.0,78.0,17.0,0.0,False,False,17.0,-20.0,20.0,14.0,11/7/1999,11/7/1999,6,39.0,35.0,-150,100,0,0,-50,100,-110,0,100,-110,14.0,-110,0,-110,100,100
114,11/7/1999,1999,10,NYJ,ARI,NYJ,-7.0,35.0,,50.0,18.0,41.0,12.0,7.0,False,False,19.0,-16.0,16.0,-2.0,11/7/1999,11/7/1999,6,37.0,33.0,-150,100,0,0,-50,100,-110,0,100,-110,-2.0,100,0,100,-110,-110
