,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,total,oudiff,oudiff_abs,spread_dist,dates,dateofgame,dayofweek,total_upper2,total_lower2,ouopp_o2,ouopp_u2,tie_ou,tie_ou2,result_total_plus_minus_two,to_spread,usd,cred,result,against_home_dogs,away_Favs
263,9/10/2000,2000,2,SF,CAR,CAR,-3.0,48.0,,59.0,11.0,76.0,22.0,38.0,False,False,60.0,12.0,12.0,-13.0,9/10/2000,9/10/2000,6,50.0,46.0,100,-150,0,0,-50,13.0,-110,0,-110,100,100
264,9/10/2000,2000,2,SEA,,LAR,-7.5,46.0,,56.0,8.0,93.0,34.0,37.0,False,False,71.0,25.0,25.0,4.5,9/10/2000,9/10/2000,6,48.0,44.0,100,-150,0,0,-50,-4.5,100,0,100,-110,-110
270,9/17/2000,2000,3,CLE,PIT,PIT,-2.5,35.5,,57.0,14.0,68.0,23.0,20.0,False,False,43.0,7.5,7.5,-0.5,9/17/2000,9/17/2000,6,37.5,33.5,100,-150,0,0,-50,-5.5,100,0,100,-110,-110
271,9/17/2000,2000,3,DET,TB,TB,-3.0,34.5,DOME,72.0,0.0,,10.0,31.0,False,False,41.0,6.5,6.5,-18.0,9/17/2000,9/17/2000,6,36.5,32.5,100,-150,0,0,-50,18.0,-110,0,-110,100,100
275,9/17/2000,2000,3,MIA,BAL,BAL,-1.5,34.5,,83.0,16.0,76.0,19.0,6.0,False,False,25.0,-9.5,9.5,-11.5,9/17/2000,9/17/2000,6,36.5,32.5,-150,100,0,0,-50,-14.5,100,0,100,-110,-110
282,9/24/2000,2000,4,ATL,,LAR,-6.5,55.0,DOME,72.0,0.0,,20.0,41.0,False,False,61.0,6.0,6.0,-14.5,9/24/2000,9/24/2000,6,57.0,53.0,100,-150,0,0,-50,14.5,-110,0,-110,100,100
291,9/24/2000,2000,4,PIT,TEN,TEN,-7.0,36.0,,62.0,11.0,92.0,20.0,23.0,False,False,43.0,7.0,7.0,4.0,9/24/2000,9/24/2000,6,38.0,34.0,100,-150,0,0,-50,-4.0,100,0,100,-110,-110
296,10/1/2000,2000,5,CIN,MIA,MIA,-7.0,33.0,,62.0,6.0,79.0,16.0,31.0,False,False,47.0,14.0,14.0,-8.0,10/1/2000,10/1/2000,6,35.0,31.0,100,-150,0,0,-50,8.0,-110,0,-110,100,100
297,10/1/2000,2000,5,CLE,BAL,BAL,-8.5,37.0,,62.0,12.0,75.0,0.0,12.0,False,False,12.0,-25.0,25.0,-3.5,10/1/2000,10/1/2000,6,39.0,35.0,-150,100,0,0,-50,3.5,-110,0,-110,100,100
311,10/8/2000,2000,6,CIN,TEN,TEN,-10.0,38.0,,38.0,10.0,74.0,14.0,23.0,False,False,37.0,-1.0,1.0,1.0,10/8/2000,10/8/2000,6,40.0,36.0,100,100,0,0,200,-1.0,100,0,100,-110,-110
315,10/8/2000,2000,6,NE,IND,IND,-3.5,43.5,,50.0,14.0,53.0,24.0,16.0,False,False,40.0,-3.5,3.5,-4.5,10/8/2000,10/8/2000,6,45.5,41.5,-150,100,0,0,-50,-11.5,100,0,100,-110,-110
